robot_count,mean_pose_rmse,std,ci95,alignment_rmse,fusion_time_ms,mean_theta,accepted_constraints,success_rate
2,0.03335150073780392,0.00041360047847081914,0.00036253680387177844,0.05420780732288782,14.89810672192544,0.08635877963481083,219,0.9125
3,0.044724197917349474,0.0007061750525707301,0.0006189897252525549,0.06551154357134606,17.030383563426547,0.07504609659985859,325,0.9022222222222223
4,0.0561604296382275,0.0003287436048495209,0.0002881564746638484,0.07812250005564479,19.238522689029192,0.06623714564808032,414,0.8620833333333333
5,0.06736010431200835,0.000300049592916625,0.00026300506426202346,0.08978198408489188,21.377801679085156,0.058030879702497026,483,0.8046666666666666
