method,runs,samples_per_run,mean_rmse_m,std_rmse_m,ci95_rmse_m,mean_fusion_time_ms,std_fusion_time_ms,improvement_vs_baseline_pct
baseline_graph_slam,5,200,0.3592104465325297,0.07203232614462879,0.021046372570678505,6.898310778506289,0.03277335504913869,0.0
decentralized_only,5,200,0.26255804531657456,0.05489336405530954,0.016038718356065247,10.796869076380647,0.21365484191844925,26.906901552820628
trust_only,5,200,0.17917639897845203,0.026616364890800735,0.007776757491409843,8.788058013452655,0.3065318335990623,50.119379681730386
full_emrmf,5,200,0.14914951403341667,0.02801298559523181,0.008184821499038335,16.07420223697208,0.5186693982553844,58.47851434356605
