stressor,level,exponent,runs,mean_rmse_m,ci95_rmse_m,baseline_rmse_m,improvement_vs_baseline_pct,mean_theta,mean_accepted_ratio,rank
packet_loss,0.0,2.0,5,0.1522222211753686,0.0019081800176478795,0.14226901513180004,-6.996046211712203,0.11227781494692513,0.3207937569912147,3
packet_loss,0.0,3.0,5,0.14934913411389064,0.0014349602472986975,0.14226901513180004,-4.9765713043922295,0.059257527206066495,0.16930722058876144,1
packet_loss,0.0,4.0,5,0.1513533956689838,0.0016198989507765894,0.14226901513180004,-6.385354202928758,0.03300478549997682,0.09429938714279092,2
packet_loss,0.1,2.0,5,0.1718055495196604,0.0021026870938670394,0.1652497615852891,-3.9671996325318277,0.10192344448939525,0.2912098413982721,3
packet_loss,0.1,3.0,5,0.16861139945854392,0.0019367584764540043,0.1652497615852891,-2.034276988363347,0.05435342599944253,0.1552955028555501,1
packet_loss,0.1,4.0,5,0.1702058093701119,0.0019772535496039192,0.1652497615852891,-2.9991255280963793,0.030738095728014194,0.08782313065146913,2
packet_loss,0.3,2.0,5,0.2154280832636135,0.0034829493957501843,0.24869277068706847,13.375816004443532,0.07833182252206387,0.22373779744824374,3
packet_loss,0.3,3.0,5,0.21030023276993012,0.0021374087002018548,0.24869277068706847,15.43773782047243,0.04127579970673687,0.11793085630496251,1
packet_loss,0.3,4.0,5,0.21060083520347772,0.001814703880449805,0.24869277068706847,15.316864812094616,0.023161059937522006,0.0661744569643486,2
delay,0.5,2.0,5,0.15145143063261643,0.0031088453470666188,0.1437385908410133,-5.365879647543073,0.11082763215091976,0.3166503775740565,3
delay,0.5,3.0,5,0.14861172915092666,0.0021690808876250168,0.1437385908410133,-3.3902783388933204,0.058444293289858985,0.1669836951138828,1
delay,0.5,4.0,5,0.15066998282012217,0.001852106830516708,0.1437385908410133,-4.822220628818865,0.032701519907224856,0.09343291402064245,2
delay,2.0,2.0,5,0.17681613394650264,0.0021350821233936355,0.2165290820581593,18.340699426689408,0.027215675655374864,0.07775907330107104,1
delay,2.0,3.0,5,0.17814784463121844,0.0020557947372590434,0.2165290820581593,17.725673180765497,0.02075349596492699,0.059295702756934264,2
delay,2.0,4.0,5,0.17832231633978254,0.002041061060191462,0.2165290820581593,17.645096610216306,0.020155109380980772,0.05758602680280221,3
delay,5.0,2.0,5,0.22362692038917054,0.0008944432065073989,0.3762620428634402,40.56617598540674,0.02,0.05714285714285715,1
delay,5.0,3.0,5,0.22362692038917054,0.0008944432065073989,0.3762620428634402,40.56617598540674,0.02,0.05714285714285715,2
delay,5.0,4.0,5,0.22362692038917054,0.0008944432065073989,0.3762620428634402,40.56617598540674,0.02,0.05714285714285715,3
noise,0.03,2.0,5,0.15004973542397004,0.004187112576376641,0.10990521533764523,-36.52649236252788,0.17022356470423403,0.4863530420120972,3
noise,0.03,3.0,5,0.14704443709751522,0.0023040637978674412,0.10990521533764523,-33.79204676117757,0.10958086604462047,0.31308818869891564,2
noise,0.03,4.0,5,0.14652800533255653,0.0014018265038101081,0.10990521533764523,-33.32215844571217,0.07123303574775139,0.2035229592792897,1
noise,0.08,2.0,5,0.15412603904865885,0.0009062626450009874,0.20526147034850245,24.912338011134526,0.06837683486697281,0.19536238533420805,2
noise,0.08,3.0,5,0.15361982295358526,0.0015316040667792568,0.20526147034850245,25.158958136292025,0.0302427785483232,0.08640793870949487,1
noise,0.08,4.0,5,0.1546022364414122,0.0015998178156401935,0.20526147034850245,24.68034250221372,0.021947093249191658,0.06270598071197617,3
noise,0.16,2.0,5,0.15766148506812103,0.0025440275428969482,0.3467186222892796,54.52754050903603,0.027530130432361466,0.07865751552103277,1
noise,0.16,3.0,5,0.1579325607519853,0.0022525686701370313,0.3467186222892796,54.449357317699366,0.02027246695123362,0.057921334146381766,2
noise,0.16,4.0,5,0.1579843246746523,0.0022721921299611748,0.3467186222892796,54.43442765446835,0.020015777834445192,0.05718793666984341,3
